PMemb,Cluster,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_weight_al,astrometric_pseudo_colour,astrometric_pseudo_colour_error,mean_varpi_factor_al,astrometric_matched_observations,visibility_periods_used,astrometric_sigma5d_max,matched_observations,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,bp_g,g_rp,l,b,Ecl_Lon,Ecl_Lat,ruwe,mag
0.4,NGC_869,4.58374E+17,34.9007848,0.064429,57.11565139,0.092128331,0.280603548,0.115781147,2.423568,-0.95402037,0.193125002,-1.50631928,0.224419786,0.291596,0.04593164,-0.07378923,-0.02384917,-0.09999866,-0.07018117,-0.06694624,0.3551473,0.1467415,0.2043231,257,256,-0.6647031,235.7597,1.591641,1.467416,0.017286353,0.01570978,29,12,0.2111092,33,275,1874.492486,2.791001324,671.6201,17.50616,25,714.1076064,11.44975167,62.36883,18.21698,25,1872.888192,17.14571639,109.2336,16.58064,1.380105,1.636337,0.7108212,0.9255161,134.7137233,-3.725562812,54.27217656,40.30849929,0.935096,17.50616
0.4,NGC_869,4.58378E+17,34.74424924,0.028450579,57.1365883,0.036771531,0.415407151,0.044613203,9.311305,-0.342761327,0.108190442,-0.756018859,0.10756946,0.3161894,-0.1348737,0.131029,-0.1571495,-0.05247791,-0.2139718,-0.176294,-0.03046965,0.05134967,0.3514163,215,203,11.82695,537.6218,325.683,1.6943756,0.006616694,-0.02201637,27,12,0.07806219,33,226,729037.095,351.3135407,2075.175,11.03149,18,456246.9382,1091.272124,418.0872,11.20339,20,416409.0809,587.5987105,708.6624,10.71312,1.196998,0.4902687,0.1718969,0.3183718,134.6264547,-3.734167188,54.18322301,40.36381645,1.0039246,11.03149
0.2,NGC_869,4.58369E+17,34.69472578,0.028647126,57.06888672,0.048743119,0.344598356,0.052692205,6.539835,-0.1459169,0.091854378,-0.698945244,0.13408216,0.3712755,-0.02458345,0.1068515,0.08462437,-0.3326513,0.07695512,0.2680104,0.009692668,-0.1774969,0.4365725,203,202,0.1935407,200.1921,12.90406,1.522582,0.007264424,0.08009165,23,12,0.1373406,26,220,11173.88927,130.9377614,85.33741,15.56785,20,5364.417081,200.7009741,26.7284,16.02758,19,9020.522759,378.0960194,23.85776,14.87384,1.287371,1.153742,0.4597273,0.6940145,134.6235607,-3.806959089,54.11324672,40.31419718,1.076254,15.56785
0.6,NGC_869,4.58363E+17,35.11595715,0.0408291,57.11640458,0.057990811,0.366437798,0.069008671,5.310025,-0.502486855,0.120632945,-1.183383917,0.145988898,0.2722306,0.01506893,-0.1090434,-0.04929521,-0.2869228,-0.1264446,-0.0910738,0.2826711,0.09842229,0.3303134,257,257,2.33304,307.3275,4.125995,1.4582162,0.011843402,0.07151531,29,13,0.1460309,31,264,4334.607666,3.808884965,1138.025,16.59599,25,1729.850628,11.35771306,152.3062,17.25637,25,3945.219381,15.58759843,253.0999,15.77174,1.309247,1.484625,0.6603756,0.8242493,134.8237235,-3.685571874,54.41107194,40.25928521,1.0994354,16.59599
0.3,NGC_869,4.58368E+17,34.6858247,0.032342614,57.02497199,0.044876182,0.374778844,0.058827128,6.370851,-0.9324975,0.109589835,-0.710651062,0.125568904,0.1975565,-0.1267135,0.09048411,-0.2161561,-0.04862549,-0.2413301,0.05860559,0.1603959,0.2690462,0.1136527,219,218,-0.2051402,208.1368,9.007986,1.5048338,0.0080893,-0.04757829,25,12,0.1213226,27,236,8317.347295,4.94756531,1681.099,15.8884,23,3700.258468,27.95982968,132.3419,16.43081,24,6848.665891,17.22360044,397.6327,15.1729,1.268304,1.257902,0.5424032,0.7154989,134.6335818,-3.849993622,54.08282215,40.27660125,1.0299758,15.8884
0.4,NGC_869,4.58375E+17,34.7635919,0.039464491,57.09654379,0.058834312,0.33480646,0.072319142,4.629569,-0.590800435,0.115416178,-1.241558628,0.14496396,0.34308,0.133962,-0.03207182,-0.04901048,-0.0586062,-0.1054654,-0.01976106,0.3197863,0.1797242,0.3038045,248,248,-0.1635808,238.7521,4.710662,1.47477,0.010433045,0.04944805,28,12,0.1422668,32,263,4691.879087,3.373836409,1390.666,16.51,25,1954.561419,12.71278431,153.7477,17.12376,22,4211.300981,10.02223625,420.1957,15.70088,1.314156,1.422885,0.6137657,0.8091192,134.6497268,-3.768439328,54.17314198,40.32313705,0.99329096,16.51
0.4,NGC_869,4.58364E+17,35.07734464,0.058784893,57.14861614,0.077592612,0.387964496,0.096612898,4.015659,-0.443868302,0.183536688,-1.188672049,0.185502688,0.3430214,-0.0311275,-0.03549023,0.00725333,-0.2701466,-0.05573609,-0.01077229,0.2524095,0.1097365,0.3425116,245,244,1.486981,272.2787,2.256196,1.4169254,0.01595378,0.05014418,28,13,0.1937733,30,252,2528.124924,3.358861001,752.6733,17.18137,26,914.2508549,6.651807116,137.444,17.94872,27,2408.103668,10.42237811,231.0513,16.30773,1.314158,1.640993,0.767355,0.8736382,134.7930636,-3.662322672,54.40424119,40.29735797,1.0354682,17.18137
0.6,NGC_869,4.58369E+17,34.500605,0.034648154,56.95945328,0.046817729,0.450043777,0.058495003,7.693713,-0.770226695,0.113541505,-1.13208292,0.123817169,0.3025287,-0.05965829,0.1257939,-0.1311111,-0.05000857,-0.1737667,0.08495804,0.06799544,0.3140751,0.1687628,255,255,-0.5112742,238.095,6.581334,1.5073098,0.008701181,0.0152549,29,12,0.1228178,32,272,6051.79256,5.290748061,1143.844,16.23366,29,2587.257812,15.46245502,167.3252,16.81929,26,5164.942878,22.11573017,233.5416,15.47926,1.280976,1.340032,0.5856323,0.7543993,134.559818,-3.945163666,53.92653223,40.26072344,0.9943434,16.23366
0.6,NGC_869,4.58375E+17,34.85808179,0.023489705,57.12543398,0.033509261,0.41662788,0.04015371,10.37582,-0.525529607,0.076803581,-0.887089359,0.090952946,0.3220652,0.0106632,0.03279066,-0.08760844,-0.1368116,-0.1169166,-0.1415496,0.1721761,0.122967,0.300962,246,246,-2.214399,195.0003,15.5522,1.5882096,0.005938163,0.02718297,28,13,0.0976664,30,264,13727.06621,5.824682029,2356.707,15.34442,23,7139.489941,22.51318837,317.1248,15.71722,23,9959.4272,32.27388147,308.5909,14.76633,1.245635,0.9508858,0.3727989,0.5780869,134.6885511,-3.724095277,54.25018845,40.32726222,0.9661974,15.34442
0.5,NGC_869,4.58355E+17,34.88156645,0.023395363,56.93563164,0.033059361,0.505591137,0.043487399,11.62615,-0.590064409,0.082230947,-0.856735514,0.103329004,0.2522784,-0.1547898,0.0490308,-0.1198332,-0.0804828,-0.1112738,-0.06842236,0.174503,0.1118958,0.1323181,229,229,-0.377547,215.4532,18.13362,1.6070642,0.006270473,-0.05066239,26,11,0.1032842,29,246,15819.0487,5.867908688,2695.858,15.19041,26,8452.492691,25.4149202,332.58,15.53393,25,10903.22111,23.87352507,456.7076,14.66803,1.22357,0.8658934,0.3435116,0.5223818,134.7642113,-3.898706539,54.15902209,40.15021667,1.0549268,15.19041
