,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_weight_al,mean_varpi_factor_al,astrometric_matched_observations,visibility_periods_used,astrometric_sigma5d_max,matched_observations,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,bp_g,g_rp,l,b,Ecl_Lon,Ecl_Lat,ruwe,dist_869_center,dist_884_center,Cluster,PMemb
2,4.5845385e+17,35.25467,0.024346823,57.12453,0.031805616,0.4010203,0.0408291,9.821923,-0.5763869,0.074206255,-0.97638804,0.078844644,0.2783859,0.03416689,-0.1146766,-0.08629025,-0.232977,-0.1677478,-0.243002,0.3526794,0.2140545,0.3002129,304.0,302.0,-0.1355042,293.0485,11.42991,-0.02295037,35.0,13.0,0.08853154,36.0,309.0,10170.1455,5.1892066,1959.865,15.67005,31.0,4607.8706,12.640005,364.5466,16.19264,30.0,8308.719,12.471944,666.1927,14.96309,1.27005,1.229553,0.5225906,0.7069626,134.89197,-3.6524153,54.504868,40.234562,1.0506645,0.5046843,0.34116367,NGC_884,0.767
10,4.584538e+17,35.254845,0.01652805,57.121338,0.021856084,0.38416988,0.027902586,13.76825,-0.60562223,0.04964475,-0.96300185,0.05580994,0.2680387,0.09922913,-0.08029439,-0.1137541,-0.2077146,-0.2056606,-0.2992068,0.3857385,0.2161546,0.3266711,288.0,286.0,-0.5668067,267.131,36.3322,-0.02543617,33.0,13.0,0.0675577,34.0,292.0,30389.309,8.834887,3439.694,14.48156,32.0,17614.486,43.59507,404.0476,14.73671,32.0,19693.059,34.383877,572.7411,14.02614,1.227654,0.7105761,0.2551498,0.4554262,134.89314,-3.6553876,54.5032,40.231632,1.0598146,0.5048935,0.341008,NGC_884,0.787
24,4.5845677e+17,35.240765,0.020622706,57.13248,0.027616965,0.48426878,0.035596665,13.60433,-0.53915805,0.061654553,-1.033756,0.07140311,0.2825543,0.01925794,-0.1438217,-0.06174359,-0.3413329,-0.1675567,-0.137647,0.3320366,0.1007117,0.3599684,277.0,270.0,-2.445552,212.0171,21.79176,-0.03241538,31.0,13.0,0.08084451,33.0,277.0,18299.295,8.676045,2109.175,15.03228,27.0,9575.91,16.547396,578.6959,15.39844,25.0,12964.403,26.045515,497.7595,14.48004,1.231759,0.9183998,0.3661585,0.5522413,134.88214,-3.6475015,54.500355,40.24497,0.9837059,0.49078253,0.35514712,NGC_869,0.759
29,4.584568e+17,35.24503,0.018349972,57.135212,0.025875708,0.4053814,0.031583518,12.83522,-0.720156,0.053957023,-1.0950148,0.06999392,0.2190774,0.02338559,-0.1707539,-0.1254506,-0.3615296,-0.2190091,-0.1942894,0.2926461,0.1577825,0.344488,236.0,234.0,-1.831358,191.4085,36.42627,-0.003073025,27.0,13.0,0.07890443,28.0,241.0,30492.984,8.094917,3766.93,14.47787,25.0,16828.13,31.790741,529.3406,14.7863,25.0,20498.78,36.137417,567.2453,13.9826,1.224115,0.8036985,0.3084326,0.495266,134.88339,-3.6441455,54.50462,40.246456,1.0247383,0.4950778,0.35095194,NGC_869,0.846
63,4.584568e+17,35.23943,0.014607068,57.140724,0.020060461,0.36286846,0.023622336,15.36124,-0.8045744,0.043446284,-0.8478814,0.055852827,0.3053035,0.004718237,-0.192087,-0.1233082,-0.2857069,-0.1971324,-0.240586,0.2836335,0.1018359,0.4059293,249.0,249.0,0.1065729,245.6915,83.07141,0.03888382,29.0,13.0,0.06912563,30.0,254.0,67023.984,19.436129,3448.423,13.62279,23.0,40193.81,73.78908,544.7122,13.84099,22.0,40898.074,112.87879,362.3185,13.23266,1.209893,0.6083269,0.2181997,0.3901272,134.87866,-3.6399925,54.504093,40.25274,1.0990942,0.48958683,0.35675,NGC_869,0.764
87,4.5845378e+17,35.28355,0.04041228,57.115402,0.0517845,0.35903153,0.072152175,4.976032,-0.7888773,0.1214784,-1.1118635,0.12716462,0.1347636,0.07992508,-0.01684449,-0.08726342,-0.2693523,-0.2228525,-0.1073603,0.3641744,0.3178649,0.19123,264.0,263.0,0.343575,265.2039,4.343035,-0.08636463,31.0,13.0,0.1286115,34.0,269.0,4369.0483,3.0487647,1433.055,16.5874,28.0,2000.5111,19.070534,104.9006,17.09854,27.0,3627.4087,11.471774,316.2029,15.86293,1.288134,1.235607,0.511137,0.7244701,134.90985,-3.6556678,54.51837,40.219635,1.0210063,0.53370667,0.3124308,NGC_884,0.535
95,4.5836293e+17,35.227886,0.014458584,57.10692,0.019067273,0.33802405,0.026010677,12.99559,-0.6521799,0.04707097,-1.1604916,0.0540264,0.3731448,-0.1646058,-0.2653195,-0.1437011,-0.26079,-0.2269673,-0.1768907,0.4428234,0.08334566,0.3945902,273.0,273.0,-5.994481,151.3393,95.29965,-0.01860616,31.0,12.0,0.06713599,34.0,282.0,77299.84,14.969143,5163.946,13.46792,32.0,45865.777,67.96329,674.8611,13.69767,32.0,47877.203,46.748558,1024.143,13.0616,1.212719,0.6360683,0.2297468,0.4063215,134.88425,-3.6739202,54.477814,40.22481,0.8360757,0.4783655,0.36839128,NGC_869,0.826
104,4.5845388e+17,35.29218,0.01449199,57.126835,0.019542184,0.35737807,0.02411321,14.82084,-0.73361635,0.043464433,-1.02431,0.049411505,0.2778112,0.04782876,-0.1343022,-0.142523,-0.2178824,-0.222764,-0.3107051,0.3591972,0.2116791,0.3227692,293.0,292.0,-3.936409,202.1152,52.92073,-0.01638461,34.0,13.0,0.06196627,36.0,308.0,43649.863,12.576469,3470.756,14.08841,35.0,25446.656,37.72542,674.5228,14.33731,34.0,27496.664,43.141808,637.3553,13.66372,1.212909,0.6735916,0.2489033,0.4246883,134.91035,-3.6433241,54.53029,40.22799,0.9264403,0.5421821,0.30365887,NGC_884,0.787
108,4.5845378e+17,35.287228,0.03500658,57.112537,0.045229122,0.4249389,0.062359437,6.814348,-0.7529689,0.105374776,-0.78913003,0.1099878,0.1517975,0.1040703,-0.02477304,-0.069212,-0.2957816,-0.2156627,-0.1685468,0.3893134,0.2851377,0.2433937,273.0,272.0,-1.679634,229.4336,5.73634,-0.07112469,31.0,13.0,0.1153005,34.0,281.0,5556.438,3.6278787,1531.594,16.32637,29.0,2483.541,10.1680975,244.2484,16.86371,31.0,4597.856,12.68254,362.5343,15.60553,1.274449,1.258179,0.5373363,0.7208424,134.9127,-3.6576836,54.519142,40.21619,0.9430972,0.5374602,0.30885687,NGC_884,0.511
127,4.5845687e+17,35.240166,0.019757386,57.14959,0.027288381,0.4518132,0.03429708,13.17352,-0.16431716,0.06006881,-0.86690503,0.07384381,0.2712459,0.0005002228,-0.1570275,-0.0981293,-0.3235608,-0.1915271,-0.1652293,0.3242489,0.08362259,0.374526,260.0,258.0,-3.540697,180.8858,23.9541,-8.135301e-05,30.0,13.0,0.08320101,31.0,264.0,19775.168,6.5767627,3006.824,14.94807,30.0,10933.682,23.491129,465.4388,15.25447,27.0,13274.825,21.560154,615.7111,14.45435,1.224187,0.8001242,0.306406,0.4937181,134.87602,-3.6315205,54.50951,40.26059,0.9161975,0.4906267,0.35651636,NGC_869,0.451
