,solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,astrometric_weight_al,astrometric_pseudo_colour,astrometric_pseudo_colour_error,mean_varpi_factor_al,astrometric_matched_observations,visibility_periods_used,astrometric_sigma5d_max,frame_rotator_object_type,matched_observations,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_template_teff,rv_template_logg,rv_template_fe_h,phot_variable_flag,l,b,ecl_lon,ecl_lat,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,flame_flags,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper,datalink_url,epoch_photometry_url,dist,PMemb
9,1635721458409799680,b'Gaia DR2 465528726379407232',465528726379407232,584596294,2015.5,38.1648139911109,0.05968084612624624,61.4494068178644,0.06221219821546924,0.3761530127828703,0.07927152524028663,4.7451215,-0.9789104984448664,0.08958396880094718,-1.2101156676696836,0.12911319367087493,-0.014145313,-0.02962109,-0.7389079,0.08796734,-0.0031337806,0.07409415,-0.06040215,0.0041753105,0.07839839,-1.9142662e-05,379,0,378,1,6.278465,571.21936,0.33759243908834174,4.65520642283712,31,False,2.4031944,1.3459492721430344,0.013171705927936197,-0.04965142,43,16,0.118518196,0,46,False,395,3503.761399891089,3.995547669708453,876.91644,16.82703,40,962.3392547874,9.497993267137772,101.320274,17.893068,41,4447.777840495971,15.56355230609987,285.78165,15.641562,1.5440884,0,2.2515059,1.0660381,1.1854677,,,0,,,,b'NOT_AVAILABLE',134.72134981924523,0.9164262792166686,58.79568388118448,43.506540085334535,102001.0,3579.75,3425.0,3892.7,,,,,,,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+465528726379407232',b'',0.004912202674376503,0.6
12,1635721458409799680,b'Gaia DR2 465528726370386560',465528726370386560,1265691026,2015.5,38.17460415860283,0.026691530008801184,61.45583748843105,0.024870797161712126,0.3504080325023884,0.03286678776766923,10.661463,-0.3913188910734514,0.03989859270440436,-0.9238775485832775,0.056510991395887104,0.048532724,0.069835015,-0.7242541,0.110573925,0.030925978,0.06357236,-0.15211175,-0.09575896,-0.013780725,0.09302826,363,0,358,5,13.155964,829.4659,0.1978095763493801,9.855361966200592,31,False,16.32257,1.5822040369646198,0.005890165610437932,-0.09915436,41,16,0.059244595,0,45,False,320,38975.85539255353,127.80227555087005,304.96997,14.211376,25,33701.94806527132,3157.4796617718994,10.673687,14.03225,25,49781.08395556598,4011.7769069334095,12.408737,13.019259,2.1419165,0,1.012991,-0.17912579,1.1921167,,,0,,,,b'NOT_AVAILABLE',134.72322954838026,0.9241535126541863,58.80532729969356,43.5103249247997,102011.0,5095.6333,4259.0,6938.0,,,,,,,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+465528726370386560',b'',0.005842253459083071,0.3
13,1635721458409799680,b'Gaia DR2 465528722079282688',465528722079282688,1058312376,2015.5,38.17018664163292,0.016605882869726973,61.45558851929708,0.016178365791375257,0.43708981762274424,0.021992625168678948,19.874382,-0.6944672781328762,0.023946413966392452,-0.8025704956067481,0.036296961364436116,-0.0026888521,0.15907754,-0.75445384,0.12121715,0.06963339,0.06426335,-0.2445431,-0.1324319,-0.023106849,-0.004449413,384,0,381,3,-2.5158262,310.5558,0.0,0.0,31,False,70.74794,1.5140048597598792,0.0035014288030269796,-0.095635906,44,15,0.042510264,0,47,False,351,56328.14493135362,25.79757399602506,2183.4668,13.811552,34,24249.369513659847,57.43278114166347,422.22174,14.389637,31,48060.36140724818,153.22477584373104,313.6592,13.057452,1.2837229,0,1.3321848,0.57808495,0.75409985,,,0,,,,b'NOT_AVAILABLE',134.72137204241488,0.9231199405767053,58.802553204159224,43.51101045560843,100001.0,4767.0,4554.893,4990.0,,,,,,,200111.0,5.4138646,4.940792,5.929817,13.636097,11.825031,15.447163,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+465528722079282688',b'',0.0060478479376710505,1.0
16,1635721458409799680,b'Gaia DR2 465528726379401344',465528726379401344,227921180,2015.5,38.18293834386037,0.02286318873429782,61.455661208447715,0.02408475724504917,0.40576970059031237,0.030849346478068973,13.153267,-0.8484603285784234,0.03357617797309566,-0.7663772794208071,0.05244235767316985,0.031850427,0.13165417,-0.7542478,0.072088525,0.06954632,0.017720813,-0.28220072,-0.11517073,0.01932154,0.009540037,408,408,400,8,5.497458,569.689,0.0,0.0,31,True,338.38754,1.6185958505415703,0.00531335450248643,-0.0700047,47,16,0.037007023,0,49,False,412,1153048.5196667947,244.6053944117813,4713.913,10.533747,41,637948.2704598542,510.0878375290329,1250.6636,10.839424,36,757589.1274703635,351.62883197566345,2154.5137,10.063335,1.2103024,1,0.7760887,0.3056774,0.4704113,,,0,,,,b'NOT_AVAILABLE',134.7269797053511,0.9255064543186635,58.810176931998036,43.50844891764769,100002.0,6109.6665,5640.0,6873.42,1.7587,1.5623,2.0748,0.9335,0.7975,1.0714,200111.0,14.735189,11.642467,17.291494,272.56882,239.66621,305.4714,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+465528726379401344',b'',0.006811346760511482,0.8
29,1635721458409799680,b'Gaia DR2 465528722077526144',465528722077526144,537680023,2015.5,38.18136651989199,0.028767145797694117,61.44219674611503,0.030355288649779853,0.45376082479671437,0.0378174552074573,11.9987135,-0.5422153930324589,0.04561017540663894,-0.5990195588117053,0.06759672540875825,-0.014551078,0.115672074,-0.6861503,0.12859401,0.05303703,0.10052437,-0.21433878,-0.124896616,-0.04172783,0.037987854,324,306,315,9,18.035608,1009.37866,0.07450640668124299,2.3779125783109367,31,False,90.5221,1.565244987298936,0.0067100556309569225,-0.08389046,37,16,0.04525019,0,43,False,336,159478.4446662251,34.15923781328014,4668.677,12.681611,34,78682.28247630944,113.38924279117819,693.9131,13.111696,32,120615.01059096771,101.21899495702988,1191.6243,12.058416,1.2496817,1,1.0532799,0.43008518,0.6231947,,,0,,,,b'NOT_AVAILABLE',134.73141167355786,0.9127699390742032,58.80124054459787,43.496623505180686,100002.0,5114.365,5047.8647,5224.4604,,,,,,,200111.0,7.3183904,7.013199,7.512485,33.013596,28.850819,37.176373,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+465528722077526144',b'',0.00837131506487784,0.8
30,1635721458409799680,b'Gaia DR2 465534597594544896',465534597594544896,1322311129,2015.5,38.18217782297158,0.08393049120978277,61.457766575651256,0.06621661300178534,0.4492476611766107,0.08203383813579664,5.4763703,-1.024102233329324,0.1272884556968608,-0.5986532403252434,0.1339270997904643,-0.06069651,-0.011485976,-0.7270744,0.15595965,0.055854842,0.3119314,0.2034018,-0.0342892,0.09834699,0.20890309,214,0,210,4,4.6092033,312.32535,0.3137663128805726,3.4839559504843565,31,False,3.5406919,1.3689191569719963,0.015487657489446412,-0.20009449,24,12,0.14027925,0,35,False,225,5881.725858939961,12.533398380884334,469.2842,16.264605,25,2342.8541376901653,102.30589759191325,22.90048,16.927025,22,7052.633468626287,117.23811911101109,60.156487,15.141042,1.5974032,0,1.7859831,0.6624203,1.1235628,,,0,,,,b'NOT_AVAILABLE',134.7258419796753,0.9273149191232184,58.81097632167779,43.510505248834356,102001.0,4403.0,3974.673,4494.0,,,,,,,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+465534597594544896',b'',0.008488267011642443,0.5
38,1635721458409799680,b'Gaia DR2 465528692019672576',465528692019672576,742562940,2015.5,38.156643086486085,0.07859192609577446,61.4452789960731,0.0744898277375651,0.4086210300683003,0.09835847676297943,4.154406,-0.24538848675647917,0.1157735777068865,-0.8384835129282496,0.1522795474728145,-0.12992801,-0.040798623,-0.791747,0.18735692,-0.08234879,0.18603514,-0.10443476,0.010338155,0.08859175,-0.0925073,352,0,351,1,1.3067187,380.8142,0.1519905356668415,0.5412424761551917,31,False,1.8696591,1.4038702957204017,0.01612230128531384,-0.10480292,40,15,0.14270052,0,43,False,364,2175.7849319452503,2.05655433542012,1057.976,17.344326,36,802.3242833865067,9.402135204254709,85.33427,18.090513,38,2306.1560620861137,7.693271657600282,299.76273,16.354698,1.4286708,0,1.735815,0.7461872,0.98962784,,,0,,,,b'NOT_AVAILABLE',134.7193080211486,0.9111231375900193,58.788371623669555,43.50449983998099,,,,,,,,,,,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+465528692019672576',b'',0.009969965856921068,0.2
46,1635721458409799680,b'Gaia DR2 465528520220980352',465528520220980352,1624247348,2015.5,38.18968340967446,0.05823207906773435,61.44199142386945,0.06033201236541471,0.4076786802320652,0.07488568309173464,5.4440136,-0.7153711209900652,0.09133782128794854,-0.9346765500580578,0.13114035997387202,-0.023443405,0.045349725,-0.6899132,0.19403042,-0.029142287,0.1460917,-0.12146049,-0.05878522,-0.060787965,-0.011957816,316,0,313,3,1.4314802,344.19357,0.1641374196070689,0.9480182005942902,31,False,2.965643,1.3450709805172671,0.012769557736563755,-0.095175534,36,15,0.1218867,0,41,False,334,3192.2452839114585,6.67666102898615,478.12003,16.928125,39,834.9325871203794,14.549928466436588,57.383965,18.04726,36,3896.7584852006144,18.47974763854887,210.86644,15.785161,1.4822454,0,2.2620993,1.1191349,1.1429644,,,0,,,,b'NOT_AVAILABLE',134.73516670829437,0.9140939219282028,58.80606410134226,43.49472464065905,100001.0,3768.4023,3428.0,4281.1553,2.7795,2.5089,3.0811,1.3953,1.2555,1.566,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+465528520220980352',b'',0.010642272143896967,0.8
51,1635721458409799680,b'Gaia DR2 465534597592786304',465534597592786304,634628759,2015.5,38.19816425510681,0.02396857282751684,61.449994832512886,0.02392704760078621,0.38958868437083494,0.02991966735570423,13.021157,-0.8597254515777838,0.035784687886313435,-0.6568010532797217,0.05264764694970873,0.06748404,0.08973209,-0.74900925,0.07608212,0.06351302,0.011757398,-0.26451203,-0.10074749,-0.03039372,0.05775704,372,372,370,2,1.677456,411.5016,0.0,0.0,31,False,300.3501,1.4922698733825872,0.0049606938559545845,-0.069661275,43,16,0.03749934,0,47,False,389,215470.7195222477,76.06781896295621,2832.6133,12.354895,42,89104.08994376328,134.62292098207698,661.879,12.9766445,41,188428.2778108627,154.32330691575862,1220.997,11.574055,1.2880282,1,1.4025898,0.6217499,0.7808399,,,0,,,,b'NOT_AVAILABLE',134.73586667967112,0.9230380523098378,58.81586157016609,43.50019967347298,100002.0,4703.25,4423.75,5292.6567,,,,,,,200111.0,12.322491,9.730769,13.928793,66.939735,58.69185,75.18762,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+465534597592786304',b'',0.011062560133356535,0.6
57,1635721458409799680,b'Gaia DR2 465534601894659712',465534601894659712,428168796,2015.5,38.192571440744565,0.1383545376902798,61.45821113760546,0.14011484383684863,0.4816378819984935,0.16409090544641733,2.9351895,-0.5531720291520812,0.19371247355548088,-0.7632037577169574,0.2433045987410243,-0.39987803,0.15043472,-0.85210043,0.3786608,-0.329891,0.42134553,-0.39866135,-0.10966551,0.30617312,-0.26837265,313,0,313,0,2.825325,382.8078,0.10859101882350611,0.13542684625962184,31,False,0.932691,1.3081517420104583,0.025165285522856465,-0.038585752,36,14,0.26285115,0,42,False,339,1304.1310511335093,12.344592439695917,105.64391,17.900063,37,434.78989393094304,10.602855558510987,41.006866,18.75569,36,1751.0199436157814,43.616210019075965,40.146084,16.653692,1.676066,0,2.1019974,0.85562706,1.2463703,,,0,,,,b'NOT_AVAILABLE',134.7302652513183,0.9296170069056557,58.81741900168251,43.508765557126246,,,,,,,,,,,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+465534601894659712',b'',0.011739389786363604,0.6
