,solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,astrometric_weight_al,astrometric_pseudo_colour,astrometric_pseudo_colour_error,mean_varpi_factor_al,astrometric_matched_observations,visibility_periods_used,astrometric_sigma5d_max,frame_rotator_object_type,matched_observations,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_template_teff,rv_template_logg,rv_template_fe_h,phot_variable_flag,l,b,ecl_lon,ecl_lat,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,flame_flags,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper,datalink_url,epoch_photometry_url,dist,dist_1805_center,PMemb
9,1635721458409799680,b'Gaia DR2 465528726379407232',465528726379407232,584596294,2015.5,38.1648139911109,0.05968084612624624,61.4494068178644,0.06221219821546924,0.3761530127828703,0.07927152524028663,4.7451215,-0.9789104984448664,0.08958396880094718,-1.2101156676696836,0.12911319367087493,-0.014145313,-0.02962109,-0.7389079,0.08796734,-0.0031337806,0.07409415,-0.06040215,0.0041753105,0.07839839,-1.9142662e-05,379,0,378,1,6.278465,571.21936,0.33759243908834174,4.65520642283712,31,False,2.4031944,1.3459492721430344,0.013171705927936197,-0.04965142,43,16,0.118518196,0,46,False,395,3503.761399891089,3.995547669708453,876.91644,16.82703,40,962.3392547874,9.497993267137772,101.320274,17.893068,41,4447.777840495971,15.56355230609987,285.78165,15.641562,1.5440884,0,2.2515059,1.0660381,1.1854677,,,0,,,,b'NOT_AVAILABLE',134.72134981924523,0.9164262792166686,58.79568388118448,43.506540085334535,102001.0,3579.75,3425.0,3892.7,,,,,,,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+465528726379407232',b'',0.004912202674376503,0.010203266248355264,0.611000019684434
13,1635721458409799680,b'Gaia DR2 465528722079282688',465528722079282688,1058312376,2015.5,38.17018664163292,0.016605882869726973,61.45558851929708,0.016178365791375257,0.43708981762274424,0.021992625168678948,19.874382,-0.6944672781328762,0.023946413966392452,-0.8025704956067481,0.036296961364436116,-0.0026888521,0.15907754,-0.75445384,0.12121715,0.06963339,0.06426335,-0.2445431,-0.1324319,-0.023106849,-0.004449413,384,0,381,3,-2.5158262,310.5558,0.0,0.0,31,False,70.74794,1.5140048597598792,0.0035014288030269796,-0.095635906,44,15,0.042510264,0,47,False,351,56328.14493135362,25.79757399602506,2183.4668,13.811552,34,24249.369513659847,57.43278114166347,422.22174,14.389637,31,48060.36140724818,153.22477584373104,313.6592,13.057452,1.2837229,0,1.3321848,0.57808495,0.75409985,,,0,,,,b'NOT_AVAILABLE',134.72137204241488,0.9231199405767053,58.802553204159224,43.51101045560843,100001.0,4767.0,4554.893,4990.0,,,,,,,200111.0,5.4138646,4.940792,5.929817,13.636097,11.825031,15.447163,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+465528722079282688',b'',0.0060478479376710505,0.007375633308655803,0.9920000004768371
16,1635721458409799680,b'Gaia DR2 465528726379401344',465528726379401344,227921180,2015.5,38.18293834386037,0.02286318873429782,61.455661208447715,0.02408475724504917,0.40576970059031237,0.030849346478068973,13.153267,-0.8484603285784234,0.03357617797309566,-0.7663772794208071,0.05244235767316985,0.031850427,0.13165417,-0.7542478,0.072088525,0.06954632,0.017720813,-0.28220072,-0.11517073,0.01932154,0.009540037,408,408,400,8,5.497458,569.689,0.0,0.0,31,True,338.38754,1.6185958505415703,0.00531335450248643,-0.0700047,47,16,0.037007023,0,49,False,412,1153048.5196667947,244.6053944117813,4713.913,10.533747,41,637948.2704598542,510.0878375290329,1250.6636,10.839424,36,757589.1274703635,351.62883197566345,2154.5137,10.063335,1.2103024,1,0.7760887,0.3056774,0.4704113,,,0,,,,b'NOT_AVAILABLE',134.7269797053511,0.9255064543186635,58.810176931998036,43.50844891764769,100002.0,6109.6665,5640.0,6873.42,1.7587,1.5623,2.0748,0.9335,0.7975,1.0714,200111.0,14.735189,11.642467,17.291494,272.56882,239.66621,305.4714,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+465528726379401344',b'',0.006811346760511482,0.0097502094507754,0.8450000077486038
29,1635721458409799680,b'Gaia DR2 465528722077526144',465528722077526144,537680023,2015.5,38.18136651989199,0.028767145797694117,61.44219674611503,0.030355288649779853,0.45376082479671437,0.0378174552074573,11.9987135,-0.5422153930324589,0.04561017540663894,-0.5990195588117053,0.06759672540875825,-0.014551078,0.115672074,-0.6861503,0.12859401,0.05303703,0.10052437,-0.21433878,-0.124896616,-0.04172783,0.037987854,324,306,315,9,18.035608,1009.37866,0.07450640668124299,2.3779125783109367,31,False,90.5221,1.565244987298936,0.0067100556309569225,-0.08389046,37,16,0.04525019,0,43,False,336,159478.4446662251,34.15923781328014,4668.677,12.681611,34,78682.28247630944,113.38924279117819,693.9131,13.111696,32,120615.01059096771,101.21899495702988,1191.6243,12.058416,1.2496817,1,1.0532799,0.43008518,0.6231947,,,0,,,,b'NOT_AVAILABLE',134.73141167355786,0.9127699390742032,58.80124054459787,43.496623505180686,100002.0,5114.365,5047.8647,5224.4604,,,,,,,200111.0,7.3183904,7.013199,7.512485,33.013596,28.850819,37.176373,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+465528722077526144',b'',0.00837131506487784,0.01007091588329745,0.7960000091791153
46,1635721458409799680,b'Gaia DR2 465528520220980352',465528520220980352,1624247348,2015.5,38.18968340967446,0.05823207906773435,61.44199142386945,0.06033201236541471,0.4076786802320652,0.07488568309173464,5.4440136,-0.7153711209900652,0.09133782128794854,-0.9346765500580578,0.13114035997387202,-0.023443405,0.045349725,-0.6899132,0.19403042,-0.029142287,0.1460917,-0.12146049,-0.05878522,-0.060787965,-0.011957816,316,0,313,3,1.4314802,344.19357,0.1641374196070689,0.9480182005942902,31,False,2.965643,1.3450709805172671,0.012769557736563755,-0.095175534,36,15,0.1218867,0,41,False,334,3192.2452839114585,6.67666102898615,478.12003,16.928125,39,834.9325871203794,14.549928466436588,57.383965,18.04726,36,3896.7584852006144,18.47974763854887,210.86644,15.785161,1.4822454,0,2.2620993,1.1191349,1.1429644,,,0,,,,b'NOT_AVAILABLE',134.73516670829437,0.9140939219282028,58.80606410134226,43.49472464065905,100001.0,3768.4023,3428.0,4281.1553,2.7795,2.5089,3.0811,1.3953,1.2555,1.566,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+465528520220980352',b'',0.010642272143896967,0.016725424099462257,0.7630000111460685
51,1635721458409799680,b'Gaia DR2 465534597592786304',465534597592786304,634628759,2015.5,38.19816425510681,0.02396857282751684,61.449994832512886,0.02392704760078621,0.38958868437083494,0.02991966735570423,13.021157,-0.8597254515777838,0.035784687886313435,-0.6568010532797217,0.05264764694970873,0.06748404,0.08973209,-0.74900925,0.07608212,0.06351302,0.011757398,-0.26451203,-0.10074749,-0.03039372,0.05775704,372,372,370,2,1.677456,411.5016,0.0,0.0,31,False,300.3501,1.4922698733825872,0.0049606938559545845,-0.069661275,43,16,0.03749934,0,47,False,389,215470.7195222477,76.06781896295621,2832.6133,12.354895,42,89104.08994376328,134.62292098207698,661.879,12.9766445,41,188428.2778108627,154.32330691575862,1220.997,11.574055,1.2880282,1,1.4025898,0.6217499,0.7808399,,,0,,,,b'NOT_AVAILABLE',134.73586667967112,0.9230380523098378,58.81586157016609,43.50019967347298,100002.0,4703.25,4423.75,5292.6567,,,,,,,200111.0,12.322491,9.730769,13.928793,66.939735,58.69185,75.18762,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+465534597592786304',b'',0.011062560133356535,0.023164255683195488,0.6720000163465738
66,1635721458409799680,b'Gaia DR2 465528795098872448',465528795098872448,324550339,2015.5,38.172856315979516,0.015023554441293425,61.46254519196441,0.01571317514017763,0.43572869650814355,0.019643817598050412,22.181467,-0.7522800512900021,0.02189414865819302,-0.7388941261131317,0.03319866287730676,0.13867046,0.17910552,-0.7634632,0.06499069,0.17528677,-0.058365528,-0.2550383,-0.14737886,-0.100599155,-0.007586487,358,0,357,1,-6.8961816,198.442,0.0,0.0,31,False,131.99295,1.575644704410092,0.003003904249439696,-0.029916856,41,15,0.040323112,0,47,False,372,105973.12189681375,25.60190155509236,4139.2676,13.125377,32,54172.705967134454,116.4026880986007,465.3905,13.516937,32,77658.92096800894,103.23643211129011,752.24335,12.536442,1.2440101,0,0.98049545,0.39156055,0.5889349,,,0,,,,b'NOT_AVAILABLE',134.71990396045487,0.9300385807130449,58.808276598939884,43.51673709412834,100001.0,5340.6665,5152.5,5377.0,1.938,1.563,2.4131,0.978,0.7979,1.196,200111.0,5.5970182,5.521633,6.013283,22.960957,20.13188,25.790033,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+465528795098872448',b'',0.012589036984106697,0.012727027249262652,0.9920000004768371
79,1635721458409799680,b'Gaia DR2 465528795098871808',465528795098871808,67500047,2015.5,38.170365295684334,0.047779016134801164,61.463427961903854,0.04622371741671196,0.5392465088621151,0.06645915229631977,8.113954,-0.9090691694024421,0.0682166992906189,-0.9189068626533452,0.09804828949081196,0.09746322,0.23268373,-0.73904586,0.117561474,0.079666875,-0.02687408,-0.113372445,-0.18416458,-0.0014171666,-0.08138058,364,0,363,1,4.8371844,502.8232,0.21606058633396494,2.6635157626445225,31,False,4.3270884,1.3878953233477564,0.009818426292097263,-0.07862437,42,15,0.09229125,0,47,False,390,5452.539709778727,11.142839282756736,489.33127,16.346869,41,1755.7911773137994,18.60739857907436,94.35984,17.240206,40,6279.888660689502,48.84448739887801,128.56903,15.26704,1.4737499,0,1.9731655,0.89333725,1.0798283,,,0,,,,b'NOT_AVAILABLE',134.71846733859283,0.9304020453027304,58.80732094702456,43.51804674599916,102001.0,3884.0,3577.75,4149.41,,,,,,,200111.0,2.5510998,2.2351835,3.0065327,1.33434,0.9853691,1.6833109,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+465528795098871808',b'',0.013612103574534925,0.014205303410518724,0.7850000059604645
89,1635721458409799680,b'Gaia DR2 465534601894654080',465534601894654080,934979868,2015.5,38.18489767727122,0.17825519165206852,61.464002499291034,0.23080464071021708,1.3600829556154375,0.2841452348602385,4.7865767,-0.7561376863730217,0.28101656685268817,-2.8438795093647053,0.5331043649204412,-0.017927455,0.105060905,-0.6934693,0.069567166,-0.0005908233,0.054490615,-0.1976354,-0.12639625,-0.21686706,-0.020054435,332,0,328,4,1.7817822,369.70624,0.6643059668027541,1.539873157706604,31,False,0.24690981,1.3619828931302735,0.044694975591381664,0.0630171,40,13,0.47406042,0,46,False,346,522.6593992273009,1.5957075995382572,327.54083,18.892818,33,238.43611741954825,9.462773024343504,25.197277,19.407959,34,836.3562009968965,8.784614904556625,95.20693,17.455942,2.0563915,0,1.9520168,0.51514053,1.4368763,,,0,,,,b'NOT_AVAILABLE',134.72466918075685,0.9335759236159044,58.81630021960877,43.5155716150187,,,,,,,,,,,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+465534601894654080',b'',0.014778309957273614,0.01714741968229272,0.6040000146627427
105,1635721458409799680,b'Gaia DR2 465534670614129536',465534670614129536,1531728085,2015.5,38.17012160878187,0.030926573079968572,61.46661456417528,0.03209605299895628,0.41270412419205477,0.040474733971235896,10.196587,-0.7046124377519928,0.0466180854082371,-0.6770912363998334,0.06911846953895355,-0.02526378,-0.026798656,-0.7652025,0.07291097,-0.024873404,0.062584914,-0.3301274,0.014603768,0.06510354,0.021088757,401,401,366,35,19.233438,1162.1945,0.10634437320924198,5.350477029383137,31,True,65.66374,1.6134237139867056,0.006482189465554471,-0.057055987,46,15,0.045028765,0,51,False,412,598066.5270367395,685.5623651486917,872.37366,11.246492,44,336008.21351021266,529.9425913485683,634.04645,11.535514,46,385068.496032501,385.7258183421316,998.2959,10.798075,1.2056798,0,0.73743916,0.2890215,0.44841766,,,0,,,,b'NOT_AVAILABLE',134.7171468689599,0.9333045969386674,58.80907126526209,43.52097198976387,100001.0,6252.0,6080.3174,6411.0,0.973,0.4755,1.6046,0.511,0.2364,0.8281,200111.0,9.947665,9.460358,10.517357,136.21123,116.74977,155.67268,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+465534670614129536',b'',0.016779829974425054,0.01731595921719409,0.8629999840259552
