,solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,astrometric_weight_al,astrometric_pseudo_colour,astrometric_pseudo_colour_error,mean_varpi_factor_al,astrometric_matched_observations,visibility_periods_used,astrometric_sigma5d_max,frame_rotator_object_type,matched_observations,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_template_teff,rv_template_logg,rv_template_fe_h,phot_variable_flag,l,b,ecl_lon,ecl_lat,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,flame_flags,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper,datalink_url,epoch_photometry_url,dist,dist_6823_center,PMemb
4,1635721458409799680,b'Gaia DR2 2020089386084422272',2020089386084422272,1135429400,2015.5,295.78910472364885,0.09877325063528773,23.307583761593545,0.09411695336300077,0.31020527306981804,0.13758452015043457,2.2546525,-1.6842089500579547,0.20992284450319013,-5.204353872213933,0.19350693238345587,0.10011797,0.03753204,-0.36352763,0.05166782,0.30799243,0.049551178,-0.160496,0.006405619,-0.19833463,0.050835963,195,0,194,1,2.2371607,235.14525,0.2883148705479043,1.1869623982147282,31,False,1.3140072,1.3516710910041119,0.027283824194098028,-0.00065005,22,14,0.1920518,0,28,False,201,1751.4322937778704,4.1663150635593125,420.3792,17.579882,21,402.2188318279198,11.265812508243618,35.702602,18.840233,19,2260.0941089330763,15.322525069900504,147.50142,16.376604,1.5200776,1,2.4636288,1.2603512,1.2032776,,,0,,,,b'NOT_AVAILABLE',59.409171333842664,-0.14151024723801875,303.60355732767175,43.78454897592145,,,,,,,,,,,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+2020089386084422272',b'',0.0035622440763088225,0.0036884082135000863,0.7620000096410513
16,1635721458409799680,b'Gaia DR2 2020089390394715392',2020089390394715392,1453067415,2015.5,295.7982529347174,0.02230066455383862,23.307304058696726,0.024766930653190806,0.385571180793898,0.031190600518836646,12.361774,-1.7087779084703203,0.04495623688911876,-5.2978388682689275,0.04567533572911889,-0.050480053,0.020785514,-0.46160886,0.06906214,0.12871721,0.053017464,-0.3658206,-0.10875445,-0.23416215,-0.094076075,219,0,219,0,-3.3736284,150.98947,0.0,0.0,31,False,26.832626,1.4890252511974764,0.007092454295861188,-0.01067686,25,14,0.052135,0,27,False,225,21973.455024764706,12.843656542288471,1710.8411,14.83362,22,9245.655604412023,22.666492089685832,407.89972,15.436543,22,19062.644000439996,58.53258122809552,325.67578,14.061462,1.2882954,1,1.3750811,0.6029234,0.77215767,,,0,,,,b'NOT_AVAILABLE',59.41310935310385,-0.1489371184423832,303.61476235613145,43.7822631826846,100002.0,4904.6924,4571.2227,5353.702,,,,,,,200111.0,3.5548267,2.9835517,4.092392,6.588381,5.30718,7.8695817,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+2020089390394715392',b'',0.0068023333206176225,0.00729638298383307,0.9919999980926514
28,1635721458409799680,b'Gaia DR2 2020089351728656128',2020089351728656128,1452914048,2015.5,295.788168938701,0.019596255145490796,23.303247951997378,0.02571154119193581,0.4592304371644159,0.03540229256998704,12.971771,-1.8549479422083197,0.04384459923995836,-5.349402569911966,0.05142690467485927,0.12363256,0.1672777,-0.26645303,0.11616309,0.42636007,0.21532966,0.11659888,0.2357127,-0.068914816,0.04241376,179,27,179,0,-2.8500433,125.52743,0.0,0.0,31,True,149.3083,1.5858909518175996,0.006151140638251462,0.015218545,21,11,0.048535198,0,27,False,184,116668.60509118851,47.11995357796067,2475.9915,13.020981,13,60857.82947433872,333.5039796494838,182.48007,13.390597,10,84864.79361086179,194.07050532439692,437.28845,12.440101,1.2490304,1,0.9504967,0.3696165,0.58088017,,,0,,,,b'NOT_AVAILABLE',59.40498269829892,-0.14292209384401217,303.60096212975145,43.78054556771514,100002.0,5190.56,4672.5967,5406.0,,,,,,,200111.0,5.9649277,5.4989724,7.360665,23.268156,19.43189,27.104422,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+2020089351728656128',b'',0.007731988146494044,0.007842420714861222,0.9219999837875367
31,1635721458409799680,b'Gaia DR2 2020089596553153920',2020089596553153920,1560668892,2015.5,295.7855814051191,0.01564280070529656,23.316047611041448,0.017258216813683416,0.3944338020711302,0.022775420461557137,17.318398,-1.6916048860859725,0.03185618491015476,-5.244593133099365,0.03275615392861194,-0.029494543,-0.0060863364,-0.42616582,0.10135709,0.23746389,0.08676818,-0.28391075,-0.04872351,-0.15554558,-0.04770203,236,0,236,0,-4.7470713,142.76712,0.0,6.611487964381062e-16,31,False,87.192085,1.586518374725416,0.00457813566433465,0.01590071,27,14,0.03946716,0,29,False,244,70014.69894771161,20.221530532805808,3462.3838,13.575393,23,36504.265363683764,96.31397743059986,379.01315,13.945529,21,50021.14070199129,51.479795376124265,971.66547,13.014036,1.2358177,0,0.9314928,0.37013626,0.56135654,,,0,,,,b'NOT_AVAILABLE',59.414903222264456,-0.13449226363197983,303.6020162798093,43.79354168721935,100001.0,5263.0,4935.47,5412.0,2.13,1.7917,2.3511,1.09,0.8959,1.1901,200111.0,5.2032895,4.920726,5.9168105,18.714756,15.891692,21.537819,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+2020089596553153920',b'',0.007973733789465164,0.008322170211207729,0.9989999997615814
32,1635721458409799680,b'Gaia DR2 2020089351728657664',2020089351728657664,1323681589,2015.5,295.78974654491753,0.0188156612348828,23.302484526810506,0.025323220583729093,0.4539413211919046,0.027599588336672507,16.447395,-1.637919043243776,0.03801936057426606,-5.516195237404345,0.05421994165496745,-0.004335159,0.11942354,-0.49717566,0.11540345,0.08167205,0.08607266,-0.5537892,-0.07941427,0.13565615,-0.021080486,198,0,196,2,-6.405073,90.76563,0.0,0.0,31,False,67.91697,1.5532307052780898,0.005520638061520826,0.12100292,23,12,0.062024795,0,28,False,203,53683.53544565363,14.054139866381716,3819.7666,13.863763,20,26463.23703232513,70.34574316079993,376.18817,14.294781,19,41294.4442826028,67.74028268117621,609.59955,13.222191,1.2621688,0,1.0725899,0.43101788,0.641572,,,0,,,,b'NOT_AVAILABLE',59.405041414224634,-0.1445587754290232,303.6026569932182,43.77945710728766,100001.0,5056.16,5008.0,5182.08,,,,,,,200111.0,4.3669715,4.157323,4.451367,11.228939,9.537422,12.920456,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+2020089351728657664',b'',0.008005890821460306,0.008032242334398467,0.717999992966652
35,1635721458409799680,b'Gaia DR2 2020089493473938560',2020089493473938560,441034150,2015.5,295.79820140781027,0.051532428282932224,23.316067984147423,0.054585172808712,0.3855370651465042,0.07807497811684394,4.938036,-1.6528264546942215,0.10211487218077185,-5.52641865258856,0.10796288527103688,0.06552105,0.1895853,-0.4786918,-0.005232737,0.27082083,-0.0069081625,-0.32086268,-0.13690719,-0.30535266,-0.04598091,194,0,193,1,1.274404,213.08463,0.10289041329238667,0.46058367224346214,31,False,4.8960333,1.3548522121671938,0.01475631639059061,-0.018892415,22,12,0.103727154,0,26,False,203,4866.68720922967,3.7654702293952993,1292.4514,16.470282,21,1365.7739460697455,6.605161007101123,206.77376,17.512941,23,5421.230033675501,16.037816161554456,338.02795,15.426676,1.394584,1,2.0862656,1.0426598,1.0436058,,,0,,,,b'NOT_AVAILABLE',59.42068760771889,-0.1445349528127082,303.61760976574095,43.7907827539144,100002.0,3646.0,3588.75,4208.8433,2.548,2.1082,2.8311,1.2433,1.025,1.4245,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+2020089493473938560',b'',0.008359504360083723,0.008766312006890663,0.8519999822229147
38,1635721458409799680,b'Gaia DR2 2020089557887083392',2020089557887083392,1511660321,2015.5,295.7827773151575,0.1854740226223747,23.307650383437846,0.1848034947708254,0.42018505755203434,0.2597431355232731,1.6176946,-1.7712782744427522,0.37428825425683176,-5.571292233858152,0.35745100637818955,0.07744544,0.076116316,-0.48196045,0.020881021,0.32251233,-0.015819186,-0.35267094,-0.12015674,-0.26095882,-4.550843e-05,227,0,227,0,1.1697291,246.85492,0.1978399617201422,0.1353149568257688,31,False,0.32834366,1.363531106879088,0.05014092521751496,0.022478864,26,13,0.3461427,0,27,False,232,582.2030047108609,2.5154948424241037,231.44672,18.77568,23,140.10625502868115,9.697817748663606,14.447194,19.985245,21,848.1402910191188,15.550679629562575,54.5404,17.44075,1.6974261,0,2.5444946,1.2095642,1.3349304,,,0,,,,b'NOT_AVAILABLE',59.4063378391449,-0.13643638022653243,303.5957648341894,43.78600647321275,,,,,,,,,,,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+2020089557887083392',b'',0.008532328373430901,0.009211961558594483,0.6690000005811453
47,1635721458409799680,b'Gaia DR2 2020089356027628416',2020089356027628416,758292961,2015.5,295.79155576290293,0.04961976700473901,23.300473791854976,0.037442388403351984,0.5026822044374861,0.04504604714181904,11.159297,-1.9696036850683556,0.0923621736799303,-5.433451562886587,0.06998351292768222,-0.047632705,-0.20335333,-0.6376611,0.12999523,0.13442981,0.06924441,-0.67011154,-0.17599578,-0.13954529,-0.14166181,140,0,140,0,6.3796067,268.24646,0.18588076865795236,6.545446214564229,31,False,21.16125,1.5474558279770059,0.009075558946179143,-0.06986496,17,11,0.09973234,0,27,False,149,67917.3141181197,60.18499651068598,1128.4758,13.608415,19,34981.4168322727,128.36269582223846,272.5201,13.991795,20,53015.1841475174,149.89151015489054,353.69037,12.950919,1.2956431,0,1.0408754,0.38337994,0.6574955,,,0,,,,b'NOT_AVAILABLE',59.40412405629515,-0.1470006189476696,303.6042237634598,43.7771066970649,100001.0,5155.425,5006.13,5341.9165,,,,,,,200111.0,4.227148,3.9371521,4.4830356,11.372278,9.096246,13.648311,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+2020089356027628416',b'',0.009832395148842632,0.009826307721118666,0.8120000052452088
50,1635721458409799680,b'Gaia DR2 2020089390394708224',2020089390394708224,975166521,2015.5,295.7939255653314,0.023965610352284953,23.30047938115391,0.02888827521716274,0.4856824107469833,0.03609019589139775,13.457461,-1.6753270595986058,0.05011727812578044,-5.316114575538853,0.05731773885327184,-0.14998077,-0.028116709,-0.40668318,0.13262026,0.018046547,0.12164733,-0.3174137,0.027323823,-0.25436753,-0.23891242,244,244,236,8,6.1740685,389.79578,0.0,0.0,31,False,308.02182,1.5786512278555322,0.0073946845964767225,-0.07568977,30,14,0.041488573,0,34,False,247,879356.5717346587,241.2134774804318,3645.5532,10.827953,23,468012.90692648495,441.99300891360303,1058.8695,11.175744,23,601631.0573615356,447.2970401833048,1345.037,10.313595,1.216394,1,0.86214924,0.34779072,0.5143585,,,0,,,,b'NOT_AVAILABLE',59.40521192363392,-0.14888578759414084,303.60715214918827,43.77659038932594,100002.0,5757.25,5496.0,5997.0864,,,,,,,200111.0,12.203351,11.246793,13.391088,147.40536,130.88127,163.92946,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+2020089390394708224',b'',0.010054876446289033,0.010092215248928962,0.9929999989271164
52,1635721458409799680,b'Gaia DR2 2020089596553154816',2020089596553154816,490375274,2015.5,295.78398483712857,0.025663761470743993,23.31792517826617,0.0264896597032921,0.42417444880071653,0.03569195517237588,11.8843155,-1.8458077059571765,0.05224893277963749,-5.217946567699829,0.05083272561281635,0.019722609,-0.002675372,-0.406878,0.069108784,0.24606447,0.038164936,-0.28394154,-0.09780506,-0.18215342,-0.008779486,222,0,222,0,-5.1319757,126.219086,0.0,0.0,31,False,19.13445,1.5495470905763906,0.007569626969098424,0.016272433,25,14,0.055353563,0,27,False,228,16180.835830968173,5.252443252989197,3080.6304,15.165863,25,7591.5841684756115,18.936754907333984,400.8915,15.6505575,24,12750.719908016832,19.930083702129373,639.7725,14.498083,1.257185,0,1.1524744,0.48469448,0.6677799,,,0,,,,b'NOT_AVAILABLE',59.41580242000353,-0.13228627744675772,303.6006678195907,43.79571597152895,100001.0,4985.1,4922.22,5142.77,,,,,,,200111.0,2.6591823,2.4986284,2.7275567,3.934472,3.162136,4.706808,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+2020089596553154816',b'',0.010346036715754755,0.010776550893002427,0.9809999972581863
53,1635721458409799680,b'Gaia DR2 2020089390387922816',2020089390387922816,890385904,2015.5,295.7998426855568,0.738279224363703,23.302872009356335,1.0016420226440927,-1.0347189438832285,1.1160428413083898,-0.92713195,-0.9063069052814728,1.5391037697503107,-5.464473934515077,2.3892339123419757,-0.29236758,-0.009499322,-0.34440076,0.2664483,-0.21477666,0.27113533,-0.55204463,-0.08978424,0.26374334,-0.2764084,179,0,176,3,3.541114,244.35529,3.479693480340878,5.288249419239001,31,False,0.021269653,1.425884041659837,0.22090531972412472,0.039503057,21,12,2.254201,0,23,False,186,138.54554951995596,1.0419760780007237,132.96423,20.334385,14,76.36052295995532,12.738057517233282,5.9946756,20.644217,17,304.60834638968606,11.088547965743214,27.470535,18.552565,2.7497735,0,2.091652,0.30983162,1.7818203,,,0,,,,b'NOT_AVAILABLE',59.409991577778186,-0.15240905409449274,303.6152537016639,43.777610340173794,,,,,,,,,,,,,,,,,,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+2020089390387922816',b'',0.010605773451895228,0.011095805973016133,0.6960000005364418
57,1635721458409799680,b'Gaia DR2 2020089493473940608',2020089493473940608,1684698898,2015.5,295.79856320324353,0.018075398535676926,23.319306048207146,0.019212595589852017,0.4289620006979501,0.026426838904098394,16.23206,-1.7006975129364355,0.03592645711327194,-5.410345476602947,0.03548514047573069,-0.099556886,-0.13964841,-0.3411603,0.110780336,0.22925483,0.046589706,-0.37451723,-0.14275439,-0.224995,-0.090206936,227,0,227,0,-4.823472,134.60657,0.0,0.0,31,False,57.708828,1.5078966222167123,0.00519652260990397,-0.051728528,26,14,0.04258161,0,27,False,234,46472.80315803516,11.320941937545852,4105.03,14.020369,24,19725.733114268496,34.66431713048979,569.0501,14.613805,23,40118.064459721594,42.10444966070016,952.82245,13.25357,1.2877165,0,1.3602352,0.59343624,0.766799,,,0,,,,b'NOT_AVAILABLE',59.42366162572609,-0.1432118055798285,303.61913237849944,43.793846643474104,100001.0,4806.6265,4485.61,5033.0,,,,,,,200111.0,4.9006767,4.469747,5.6272187,11.549636,9.76653,13.332742,b'https://gea.esac.esa.int/data-server/datalink/links?ID=Gaia+DR2+2020089493473940608',b'',0.011036995864740337,0.011383984527392341,0.9949999994039536
