RA_ICRS,DE_ICRS,Source,GLON,GLAT,plx,pmRA,pmDE,o_Gmag,Gmag,BP-RP,PMemb,Cluster,_RA.icrs,_DE.icrs
34.90078479594,57.11565138947,458374066782242688,134.7137232821,-3.7255628125,0.2806,-0.954,-1.506,275,17.506157,1.636337,0.4,NGC_869,34.90079236116,57.11565787364
34.74424923846,57.13658830349,458377640195025664,134.6264547454,-3.7341671881,0.4154,-0.343,-0.756,226,11.031491,0.490269,0.4,NGC_869,34.74425195999,57.13659155849
34.69472577739,57.06888671959,458368603583938816,134.6235606722,-3.8069590894,0.3446,-0.146,-0.699,220,15.567855,1.153742,0.2,NGC_869,34.69472693371,57.06888972917
35.11595715113,57.11640458496,458363101717259648,134.8237234603,-3.6855718744,0.3664,-0.502,-1.183,264,16.595991,1.484625,0.6,NGC_869,35.11596113207,57.11640967843
34.68582470444,57.02497199011,458368019468438144,134.6335817871,-3.8499936223,0.3748,-0.932,-0.711,236,15.888404,1.257902,0.3,NGC_869,34.68583207716,57.02497505136
34.76359189768,57.0965437851,458374582178370816,134.6497268043,-3.7684393282,0.3348,-0.591,-1.242,263,16.509998,1.422885,0.4,NGC_869,34.7635965819,57.0965491326
35.0773446414,57.14861613547,458364132509423232,134.7930635942,-3.6623226723,0.388,-0.444,-1.189,252,17.18137,1.640993,0.4,NGC_869,35.07734816546,57.14862125478
34.50060499926,56.95945327705,458369084620022656,134.5598179933,-3.9451636656,0.45,-0.77,-1.132,272,16.233656,1.340032,0.6,NGC_869,34.50061107975,56.95945815094
34.85808178529,57.12543397744,458374857056217216,134.6885510775,-3.724095277,0.4166,-0.526,-0.887,264,15.344421,0.950886,0.6,NGC_869,34.85808595757,57.12543779647
34.88156645413,56.93563164364,458354756609494400,134.7642112587,-3.8987065393,0.5056,-0.59,-0.857,246,15.190414,0.865893,0.5,NGC_869,34.88157111023,56.9356353335
34.8162946822,57.01306022277,458367469712622720,134.7046830705,-3.8376064654,0.3663,-0.654,-1.357,233,15.25061,0.95064,0.8,NGC_869,34.81629985411,57.01306606541
34.74033686928,57.13832644269,458377640195402880,134.623869251,-3.7332335852,0.4098,-0.697,-1.102,226,10.979244,0.433031,0.8,NGC_869,34.74034239988,57.13833118741
34.94934119057,57.11097952885,458373963703027200,134.7401856816,-3.7211310946,0.485,-0.561,-1.111,222,10.874249,0.808113,0.7,NGC_869,34.94934563874,57.11098431232
34.62230014206,57.14654831646,458372795471919360,134.5605895083,-3.7467085149,0.2803,-0.614,-0.727,236,15.477233,0.958788,0.3,NGC_869,34.62230501515,57.1465514466
34.91629617264,56.88177179511,458353725817388032,134.8001925204,-3.9431117835,0.4051,-0.921,-1.173,212,15.769114,0.96989,0.3,NGC_869,34.91630343041,56.88177684553
