RA_ICRS,DE_ICRS,Source,GLON,GLAT,plx,e_plx,pmRA,e_pmRA,pmDE,e_pmDE,o_Gmag,Gmag,BP-RP,PMemb,Cluster,_RA.icrs,_DE.icrs
35.41469969505,56.99861200602,458311532056974336,135.0169522635,-3.7411231079,0.4406,0.0304,-0.34,0.061,-0.8,0.066,258,14.76249,0.65817,0.5,NGC_884,35.41470238276,56.99861545046
35.41716066969,56.99805685512,458311532056974464,135.0184048052,-3.7411861761,0.4387,0.098,-0.303,0.19,-0.97,0.197,280,17.15773,1.647366,0.3,NGC_884,35.41716306488,56.99806103151
35.39224504462,56.99623602165,458311566416713600,135.0062486009,-3.7475380331,0.4182,0.0435,-0.746,0.084,-1.338,0.093,270,15.710485,0.956811,0.7,NGC_884,35.39225094141,56.99624178248
35.38839622778,56.99228463561,458311566416713984,135.0056273858,-3.7519680072,0.3541,0.0242,-0.688,0.055,-1.219,0.053,253,13.630529,0.637017,0.4,NGC_884,35.38840166553,56.99228988408
35.40922367836,57.00680216563,458311600776450816,135.0113364195,-3.7344471234,0.3837,0.059,-0.453,0.107,-1.159,0.116,273,16.240725,1.258944,0.2,NGC_884,35.40922726013,57.00680715577
35.45803652812,56.96670201047,458311257179070080,135.0501364272,-3.7630181376,0.4099,0.0255,-1.031,0.053,-0.726,0.053,255,13.676448,0.570545,0.1,NGC_884,35.45804467124,56.9667051363
35.40135596053,56.95238656807,458311154099858304,135.0259478691,-3.7870481045,0.4431,0.0368,-0.395,0.071,-0.955,0.081,262,11.924335,0.34074,0.5,NGC_884,35.40135907915,56.95239067988
35.4257967285,56.93549280389,458311085380383872,135.0442945903,-3.7983616934,0.4549,0.0887,-0.161,0.175,-0.783,0.174,244,16.883863,1.291594,0.2,NGC_884,35.42579799906,56.93549617514
35.50902723048,56.8855047288,458307030931268480,135.1042526551,-3.8297383975,0.3309,0.0846,-0.438,0.178,-1.099,0.165,242,16.868507,1.588753,0.1,NGC_884,35.5090306824,56.88550946061
35.52067239648,56.86951854525,458307030931274368,135.1157468698,-3.8425650785,0.4064,0.0268,-0.52,0.056,-1.101,0.05,237,13.066883,0.415474,0.3,NGC_884,35.5206764929,56.86952328567
35.67809677313,56.82104464298,458305759621298816,135.2134972746,-3.8583803746,0.3153,0.0681,-0.403,0.171,-1.07,0.179,246,16.445784,1.086569,0.1,NGC_884,35.67809994375,56.82104924992
35.42440281141,56.92344967004,458310329466143232,135.047709553,-3.8099377454,0.415,0.0728,-0.54,0.141,-1.127,0.138,265,16.579596,1.348186,0.4,NGC_884,35.42440707153,56.9234545224
35.47619771662,56.89006202926,458310054588244352,135.085802641,-3.8316140692,0.4479,0.0358,-0.549,0.07,-0.92,0.075,257,15.04922,0.722346,0.5,NGC_884,35.47620204387,56.89006599037
35.55727233296,56.83947949994,458306687333901696,135.144935136,-3.8638888301,0.4141,0.0805,-0.625,0.174,-0.853,0.166,265,15.92063,1.173812,0.1,NGC_884,35.55727725259,56.83948317258
35.63670138952,56.83776707728,458306000139130752,135.1864031787,-3.8505168186,0.4596,0.0308,-0.396,0.071,-1.108,0.073,269,14.593733,0.598403,0.3,NGC_884,35.63670450646,56.83777184784
35.67188971838,56.83413170634,458305828340438784,135.2057665204,-3.847275824,0.3874,0.0547,-0.625,0.132,-1.045,0.124,238,15.938833,1.082578,0.7,NGC_884,35.67189463731,56.83413620565
35.57565443281,56.8758945795,458306889186321664,135.1418247611,-3.826240099,0.3644,0.0335,-0.416,0.079,-1.122,0.076,245,12.856962,0.452048,0.4,NGC_884,35.57565771051,56.87589941033
35.44123769217,56.96576539754,458311218512274560,135.0418360698,-3.7670356088,0.3207,0.0379,-0.656,0.076,-0.759,0.089,243,10.596858,0.303563,0.4,NGC_884,35.44124287331,56.96576866546
35.46183724738,56.93510496186,458310359519681536,135.0629419359,-3.7919905465,0.4523,0.0661,-0.495,0.131,-1.371,0.138,263,16.501617,1.23404,0.2,NGC_884,35.46184115371,56.93511086478
35.58874718623,56.83308328833,458305931410292480,135.1633442978,-3.8639633744,0.3345,0.1378,0.166,0.311,-0.571,0.283,255,17.676653,1.271027,0.1,NGC_884,35.5887458798,56.8330857468
35.57337057379,56.90326962826,458307134010476416,135.1312012216,-3.8009697728,0.4554,0.0793,-1.065,0.158,-1.353,0.167,273,16.804918,1.281883,0.3,NGC_884,35.57337897116,56.90327545368
35.54106227224,56.89341682655,458307168370218240,135.1179967869,-3.8162934498,0.3941,0.0493,-0.645,0.096,-1.069,0.1,278,15.870718,1.133368,0.5,NGC_884,35.54106735663,56.89342142919
35.48289590677,56.88859859751,458309985868768000,135.0897504035,-3.8317334006,0.3535,0.0659,-0.701,0.123,-0.791,0.128,259,16.349401,1.178546,0.4,NGC_884,35.48290143188,56.8886020032
35.49488781561,56.87354551335,458306652974151936,135.1010963473,-3.8436233915,0.4396,0.0257,-0.585,0.056,-1.205,0.05,249,13.11209,0.418095,0.9,NGC_884,35.49489242458,56.87355070154
35.49841740361,56.87971663741,458309985868770944,135.1007884607,-3.83716519,0.2949,0.0625,-0.546,0.139,-1.023,0.12,244,16.270058,1.157847,0.5,NGC_884,35.49842170603,56.87972104199
35.5054976729,56.88924376996,458309981562457344,135.1011506373,-3.8268890869,0.345,0.0727,-0.77,0.142,-1.261,0.15,267,16.647911,1.446786,0.3,NGC_884,35.50550374196,56.88924919927
35.51153185847,56.86681813049,458307030931616256,135.1119745097,-3.8468176928,0.3853,0.0294,-0.54,0.068,-1.179,0.065,228,14.300809,0.578282,0.3,NGC_884,35.51153611214,56.86682320674
35.65321879839,56.83159567643,458305789673621504,135.1970388118,-3.8531867432,0.4081,0.0412,-0.996,0.093,-0.854,0.1,246,12.606993,0.400052,0.2,NGC_884,35.65322663667,56.83159935337
35.66512683382,56.98012261997,458401657649840384,135.1517055348,-3.7115662409,0.4178,0.0494,-0.297,0.101,-0.895,0.11,286,16.02187,1.121654,0.2,NGC_884,35.66512918045,56.98012647344
36.08182638119,57.02793878529,458396160091595904,135.3481194521,-3.5876322653,0.4212,0.0361,-0.471,0.067,-1.218,0.076,280,15.541954,0.951808,0.4,NGC_884,36.0818301074,57.02794402946
36.12394950125,57.14371036886,458399145082994176,135.3287687995,-3.4712109027,0.3139,0.1337,-1.102,0.246,-1.3,0.265,280,17.981394,1.441906,0.1,NGC_884,36.12395824674,57.14371596608
35.55911113994,56.925155186,458401039174609024,135.1163251923,-3.7831024238,0.3546,0.0971,-0.878,0.191,-1.185,0.196,284,17.332935,1.311243,0.3,NGC_884,35.5591180669,56.92516028808
35.49527579913,56.99084561648,458404372069178624,135.0609407675,-3.7333785343,0.3971,0.0548,-0.691,0.106,-1.099,0.116,262,16.191341,1.197903,0.5,NGC_884,35.49528126038,56.99085034829
36.08601697462,57.03043477469,458396160091592448,135.3493791476,-3.5844937404,0.4204,0.0296,-0.536,0.054,-1.019,0.063,281,15.071665,1.004651,0.4,NGC_884,36.08602121535,57.03043916205
36.0874096085,57.03010285214,458396160091592576,135.350206951,-3.5845379333,0.3252,0.0851,-0.942,0.155,-1.356,0.173,292,17.14709,1.728788,0.1,NGC_884,36.08741706136,57.03010869047
