dist,solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra_1,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,astrometric_weight_al,astrometric_pseudo_colour,astrometric_pseudo_colour_error,mean_varpi_factor_al,astrometric_matched_observations,visibility_periods_used,astrometric_sigma5d_max,frame_rotator_object_type,matched_observations,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_proc_mode,bp_rp,bp_g,g_rp,phot_variable_flag,l,b,ecl_lon,ecl_lat,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,flame_flags,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper,datalink_url,epoch_photometry_url,PMemb,Cluster,Separation
0.004756728,1.63572E+18,Gaia DR2 3326741067438961664,3.32674E+18,1025584172,2015.5,100.2417153,0.049001499,9.899756487,0.0526098,1.286983934,0.064376367,19.991558,-1.46397389,0.099292739,-3.628492981,0.089287207,-0.08300869,0.061894637,-0.20372424,0.13852985,-0.5728586,-4.20E-04,-0.2858473,0.18068987,0.15010615,-0.020889094,143,0,143,0,11.385525,425.31857,0.304088123,12.81109002,31,FALSE,8.402239,1.500643369,0.012229948,-0.026077915,16,11,0.09399997,0,18,FALSE,126,33967.60713,153.4676609,221.33397,14.360703,10,15668.52836,758.8613444,20.647419,14.863817,9,32279.0384,1155.900454,27.925447,13.489618,1.4115674,0,1.3741989,0.50311375,0.87108517,NOT_AVAILABLE,202.9315344,2.197949331,100.3631608,-13.17184447,102001,4720.55,4425,5016.1,200111,1.4662511,1.2985574,1.6686567,0.9617934,0.8592781,1.0643088,Gaia DR2 3326741067438961664,,1,NGC_2264,1.71E-08
0.006457083,1.63572E+18,Gaia DR2 3326740865570981632,3.32674E+18,1521413039,2015.5,100.2455574,0.038981867,9.90019647,0.038836051,1.362734632,0.04591822,29.677427,-1.137068181,0.079773388,-3.588938686,0.074279459,0.012196259,-0.03853133,-0.19756602,0.16297492,-0.4334194,0.08685764,-0.27630365,0.14072552,0.1358132,-0.020499181,159,159,156,3,12.26356,478.66443,0.06705738,1.356665491,31,TRUE,110.686615,1.704488629,0.010582645,-0.030649807,18,11,0.04993104,0,20,FALSE,157,972311.7736,532.7693988,1825.0143,10.718852,18,634195.2498,950.3470253,667.3302,10.845831,18,505695.0604,702.8544676,719.4876,10.502198,1.1723506,0,0.3436327,0.12697887,0.21665382,NOT_AVAILABLE,202.9328718,2.201517661,100.3670049,-13.17113068,100001,7839.6665,7700,8181.6665,200111,2.4925027,2.2884808,2.5837433,21.1425,20.141113,22.143887,Gaia DR2 3326740865570981632,,0.9,NGC_2264,1.50E-08
0.009157154,1.63572E+18,Gaia DR2 3326740964359745920,3.32674E+18,238254446,2015.5,100.2329375,0.043918024,9.898147247,0.044956818,1.248682769,0.052858552,23.623098,-1.432188117,0.086068464,-3.728367495,0.07655859,-0.06422252,-0.09965607,-0.22581331,0.26670295,-0.46055713,0.14154735,-0.35906082,0.21860003,0.111144416,-0.075713135,164,0,163,1,1.1176776,177.98996,0.075688697,0.373744193,31,FALSE,9.581892,1.381862357,0.011179587,-0.008527537,19,11,0.085975535,0,19,FALSE,164,8872.777771,21.89718901,405.2017,15.818216,16,2959.042968,58.85730806,50.27486,16.67351,16,9699.928708,119.4206751,81.22487,14.794998,1.4267203,0,1.8785114,0.8552933,1.0232182,NOT_AVAILABLE,202.9290166,2.189521195,100.3544234,-13.1740773,100001,4027.3333,3858,4257.02,200111,1.2478738,1.1168488,1.3598198,0.3690679,0.334995,0.4031408,Gaia DR2 3326740964359745920,,1,NGC_2264,1.04E-08
0.009808668,1.63572E+18,Gaia DR2 3326740861280539136,3.32674E+18,667918271,2015.5,100.2489237,0.032821848,9.901715751,0.032414413,1.33230361,0.040609314,32.807835,-2.01662815,0.074140127,-3.112353372,0.080113797,-0.017694883,-0.14377613,-0.059924215,0.02342283,-0.40980563,0.07409532,-0.17488915,-0.038103823,0.32148573,-0.35943434,143,0,143,0,0.018795235,137.64589,0,0,31,FALSE,20.898325,1.428459877,0.00862995,-0.08566067,16,10,0.0905207,0,17,FALSE,143,17402.15044,70.01576428,248.54617,15.086859,14,6703.738699,157.315106,42.613445,15.785596,16,17689.01633,318.9583007,55.45871,14.142661,1.4017092,0,1.6429348,0.69873714,0.94419765,NOT_AVAILABLE,202.933034,2.205161694,100.3702882,-13.16937442,100001,4315,4194.4497,4420.75,200111,1.3143764,1.2522453,1.3910135,0.5395819,0.5021144,0.5770494,Gaia DR2 3326740861280539136,,0.5,NGC_2264,1.62E-08
0.009912579,1.63572E+18,Gaia DR2 3326741071727347200,3.32674E+18,116582501,2015.5,100.2445954,0.10639023,9.90448343,0.107394716,1.376525311,0.129184859,10.65547,-1.14495317,0.213282928,-3.51446991,0.201965178,0.020530453,-0.114568815,-0.17797796,0.19931377,-0.47430474,0.11927517,-0.29453543,0.1700664,0.21138813,-0.1410166,161,0,160,1,3.7385166,229.71303,0.396693444,2.396834229,31,FALSE,1.3969908,1.261346424,0.027649296,-0.01577667,18,11,0.20339909,0,18,FALSE,158,2033.591551,5.25579888,386.9234,17.417706,15,808.7815096,44.26857829,18.269878,18.08181,16,2763.111848,15.29168661,180.69373,16.158424,1.7564458,0,1.9233856,0.66410446,1.2592812,NOT_AVAILABLE,202.9286218,2.202631504,100.3657142,-13.16692391,,,,,,,,,,,,Gaia DR2 3326741071727347200,,0.8,NGC_2264,5.88E-09
0.009988059,1.63572E+18,Gaia DR2 3326741071729412992,3.32674E+18,1376434,2015.5,100.2354252,0.044380507,9.90287123,0.053109075,1.392191282,0.065835868,21.146395,-1.600830757,0.086240462,-3.527521451,0.07321471,0.15226004,-0.053913444,-0.22352001,0.10894431,-0.64975494,-0.17241926,-0.4405784,0.41899964,0.2950468,0.19574274,125,125,124,1,0.3329693,123.526344,0,0,31,TRUE,332.1388,1.568566862,0.011046137,0.14219679,14,8,0.056101166,0,16,FALSE,125,245693.3041,1176.190003,208.88913,12.212382,14,116446.0952,1977.974738,58.871376,12.686076,14,185211.9993,2517.559417,73.56808,11.592747,1.2277831,0,1.0933294,0.47369385,0.6196356,NOT_AVAILABLE,202.9259302,2.193858233,100.3565815,-13.1691879,100001,4971.9624,4945.14,5009.5,200111,3.178452,3.1309965,3.2130253,5.562082,5.2218647,5.902299,Gaia DR2 3326741071729412992,,1,NGC_2264,1.83E-08
0.010136254,1.63572E+18,Gaia DR2 3326740861280532224,3.32674E+18,878677150,2015.5,100.2514621,0.068533428,9.898102945,0.06699194,1.329578276,0.077291608,17.202105,-1.382722109,0.132076837,-3.488375635,0.117198056,-0.061159175,-0.067144044,-0.1750929,0.3515627,-0.39967218,0.23306726,-0.35785723,0.24665618,0.14145403,-0.119661555,152,0,152,0,2.7119858,197.7629,0.229276152,1.945241964,31,FALSE,4.1539645,1.341527966,0.017319658,0.01867874,17,11,0.1292478,0,18,FALSE,153,4953.795652,10.44150975,474.4329,16.451021,12,2052.102501,81.81376339,25.082607,17.07089,12,5903.40815,29.21181263,202.08975,15.334163,1.6059425,0,1.7367277,0.61986923,1.1168585,NOT_AVAILABLE,202.9373931,2.205737241,100.3731192,-13.17279589,102001,4410,3917.695,4525.61,200111,0.65803653,0.624846,0.83380777,0.14755335,0.1295949,0.1655118,Gaia DR2 3326740861280532224,,0.9,NGC_2264,1.55E-08
0.010259313,1.63572E+18,Gaia DR2 3326741067438969088,3.32674E+18,663536017,2015.5,100.2466401,0.062042653,9.904013857,0.063528656,1.32328409,0.076213977,17.362747,-1.364139472,0.124086801,-3.334159863,0.117671552,-0.007156066,-0.10421648,-0.18322995,0.20752087,-0.47957125,0.1160136,-0.30393124,0.18194844,0.20093933,-0.14733034,161,0,161,0,0.8766591,171.29236,0,0,31,FALSE,4.244886,1.328638477,0.016361081,-0.019749891,18,11,0.122401,0,19,FALSE,162,4110.718961,9.254579893,444.18213,16.653572,18,1447.3112,50.43261418,28.697922,17.449984,18,5006.314168,20.5284746,243.8717,15.513124,1.5699505,0,1.9368591,0.7964115,1.1404476,NOT_AVAILABLE,202.9299601,2.204209258,100.3678124,-13.16724589,102001,3937,3656.25,4175.4053,200111,0.862939,0.76720893,1.0005509,0.161182,0.14172374,0.18064027,Gaia DR2 3326741067438969088,,0.6,NGC_2264,1.44E-08
0.010728235,1.63572E+18,Gaia DR2 3326740758201316608,3.32674E+18,1647166736,2015.5,100.2467244,0.028362451,9.885498978,0.027736666,1.335778267,0.031030123,43.04779,-1.191135771,0.05705807,-3.708722986,0.0539006,-0.2037304,-0.029649135,-0.21731108,0.31168976,-0.30319855,0.24964003,-0.3145518,0.13104774,0.043895833,-0.18830581,160,0,159,1,1.2877071,176.99017,0,0,31,FALSE,28.594597,1.423287167,0.007067923,-0.09581949,18,11,0.06672206,0,20,FALSE,161,23335.32634,89.74979684,260.0042,14.768331,17,8403.006325,127.0566649,66.135895,15.540301,17,26858.97392,337.6138847,79.5553,13.689197,1.5110986,0,1.8511047,0.77197075,1.079134,NOT_AVAILABLE,202.9464832,2.195830906,100.3692794,-13.18570578,102001,4013.71,3637,4372,200111,1.9132196,1.6124879,2.3300765,0.8558709,0.8079055,0.9038363,Gaia DR2 3326740758201316608,,1,NGC_2264,3.35E-09
0.010880451,1.63572E+18,Gaia DR2 3326740762491769088,3.32674E+18,1098400913,2015.5,100.2470469,0.098474179,9.885497814,0.094531956,1.309577982,0.109286316,11.983001,-1.827096225,0.207416955,-4.015517559,0.205483414,-0.15879214,0.004767628,-0.2218789,0.21693312,-0.30578756,0.17437659,-0.22653893,0.0682903,0.12867178,-0.24397779,144,0,144,0,8.647387,337.57184,0.560332451,8.610290279,31,FALSE,1.7457167,1.323346272,0.024910901,-0.086806856,17,10,0.21094087,0,20,FALSE,145,4123.98946,17.31490701,238.17566,16.650072,0,,,,,0,,,,,,2,,,,NOT_AVAILABLE,202.9466294,2.196113062,100.3696049,-13.18568385,,,,,,,,,,,,Gaia DR2 3326740762491769088,,1,NGC_2264,1.63E-08
